,system time,CI system time,PI system time,edge time,CI edge time,PI edge time,fog time,CI fog time,PI fog time,cloud time,CI cloud time,PI cloud time,dropout,CI dropout,PI dropout,throughput,CI throughput,PI throughput,edge utilization,CI edge utilization,PI edge utilization,fog utilization,CI fog utilization,PI fog utilization,cloud utilization,CI cloud utilization,PI cloud utilization,arrival rate
0,2593.565848043482,"(2536.970085756103, 2650.1616103308615)","(2454.9351088355515, 2732.196587251413)",127.62021854257155,"(120.21054576823865, 135.02989131690447)","(109.47030108446333, 145.77013600067977)",2338.490070652928,"(2289.2541377529074, 2387.7260035529484)","(2217.887158037967, 2459.092983267889)",127.35555884798279,"(90.62264380095907, 164.08847389500653)","(37.37866021777232, 217.33245747819325)",398.51068000000004,"(398.34969196419917, 398.6716680358009)","(398.116341457595, 398.90501854240506)",0.06748,"(0.06406212366232447, 0.07089787633767552)","(0.059107946968762454, 0.07585205303123754)",0.998487668425066,"(0.9987599803218806, 0.9993315381587401)","(0.998345746710913, 0.9997457717697077)",0.497067020260181,"(0.48935281847415035, 0.49967332560001376)","(0.4818730838645205, 0.5071530602096436)",0.8101712266370361,"(0.8195714220952264, 0.8990570493858787)","(0.7619646213669828, 0.9566638501141222)",0.015
1,2571.9241938816713,"(2487.6725009805045, 2656.175886782838)","(2365.550536308145, 2778.2978514551974)",136.0697674749848,"(130.42124620646572, 141.71828874350385)","(122.2337725658547, 149.9057623841149)",2337.0506686905346,"(2279.4393778316257, 2394.6619595494435)","(2195.932402663139, 2478.1689347179304)",98.70375771615127,"(73.3310991893262, 124.07641624297635)","(36.55369090755312, 160.85382452474943)",198.60567999999998,"(198.54797321106867, 198.6633867889313)","(198.46432781242376, 198.7470321875762)",0.06652,"(0.06566088955018094, 0.06737911044981905)","(0.06441561776525039, 0.0686243822347496)",0.9982108919211408,"(0.9990106465740121, 0.9993959163324955)","(0.9987314242924489, 0.9996751386140587)",0.4961750785486679,"(0.49682048489704816, 0.4983331963064956)","(0.4957241550611556, 0.49942952614238817)",0.7844187909652341,"(0.7763794419259655, 0.8508301526243758)","(0.7224216711758338, 0.9047879233745075)",0.03
2,2576.4501608992123,"(2494.690413033029, 2658.2099087653955)","(2376.1804971284573, 2776.7198246699672)",132.97795098249966,"(121.81298970923316, 144.14291225576616)","(105.62949286506195, 160.3264090999374)",2337.7684473151394,"(2254.708042491455, 2420.8288521388235)","(2134.312837668106, 2541.2240569621727)",105.603762601573,"(80.53667702089366, 130.6708481822523)","(44.20219359023088, 167.0053316129151)",118.5678,"(118.46976638171377, 118.66583361828624)","(118.32766765755994, 118.80793234244007)",0.06588000000000001,"(0.06461087953948431, 0.0671491204605157)","(0.06277130244961054, 0.06898869755038947)",0.9993486133078192,"(0.9983819104315058, 0.9993044195627546)","(0.9977133266698212, 0.9999730033244393)",0.4942508411118725,"(0.4962613211475429, 0.49910792174781066)","(0.49419826196159855, 0.501170980933755)",0.8078617926037058,"(0.8132778876356652, 0.9243872078985795)","(0.7327519776113124, 1.0049131179229325)",0.05
3,2563.470114079512,"(2514.553502288176, 2612.386725870848)","(2443.6493752449283, 2683.2908529140955)",122.94474874910222,"(116.0727486296769, 129.81674886852755)","(106.11185494416512, 139.77764255403932)",2346.556443057814,"(2298.188085467509, 2394.9248006481184)","(2228.0786472650934, 2465.034238850534)",93.86892227259509,"(57.41771183474948, 130.3201327104407)","(4.582056193061163, 183.155788352129)",598.5840000000001,"(598.4537160770401, 598.71428392296)","(598.2648708670599, 598.9031291329402)",0.06428,"(0.059744423940810996, 0.068815576059189)","(0.05317015296540358, 0.07538984703459642)",0.9986495110291678,"(0.9983924316091835, 0.9993388557917902)","(0.9977065155366783, 1.0000247718642954)",0.4961716000446676,"(0.497331318765626, 0.49890375473818793)","(0.4961917038589201, 0.5000433696448938)",0.8356973762567613,"(0.728991155866943, 0.8886781931968714)","(0.6132587945343603, 1.0044105545294542)",0.01
4,2598.306893938066,"(2548.9949593461774, 2647.6188285299545)","(2477.5178159584398, 2719.095971917692)",130.26777099647552,"(118.87034917651187, 141.66519281643917)","(102.34990315430137, 158.18563883864965)",2362.30906252719,"(2319.664970659224, 2404.9531543951557)","(2257.852796906304, 2466.7653281480757)",105.63006041440072,"(70.50452044018962, 140.7556003886118)","(19.590410537850133, 191.6697102909513)",148.60736,"(148.56268849478005, 148.65203150521995)","(148.49793760616902, 148.71678239383098)",0.06495999999999999,"(0.06134615811883545, 0.06857384188116453)","(0.05610793138004719, 0.07381206861995279)",0.999196845646704,"(0.9985375067137358, 0.9992143221082007)","(0.9980469882277184, 0.999704840594218)",0.4923898222360584,"(0.4951820622710155, 0.49834130140081484)","(0.4928924199141938, 0.5006309437576366)",0.8026844771020348,"(0.7883804687346178, 0.8830202584409489)","(0.7197907665153758, 0.9516099606601909)",0.04
5,2493.405117568292,"(2450.705800397419, 2536.1044347391653)","(2388.8135781343926, 2597.9966570021916)",135.17390865207375,"(127.55364295511596, 142.79417434903152)","(116.50814599009314, 153.83967131405436)",2271.779899024528,"(2234.3976940801303, 2309.1621039689253)","(2180.212571450608, 2363.347226598448)",86.35130989169018,"(75.71165074855861, 96.99096903482175)","(60.28957395388014, 112.41304582950022)",238.56252,"(238.4118291254827, 238.7132108745173)","(238.19340424853883, 238.9316357514612)",0.06548000000000001,"(0.06421806194271745, 0.06674193805728257)","(0.062388895672658644, 0.06857110432734138)",0.9987787060659794,"(0.998320621313431, 0.9992367908185278)","(0.9976566321632868, 0.999900779968672)",0.4952108724402895,"(0.4934159409949647, 0.4970058038856143)","(0.49081420627596756, 0.49960753860461143)",0.8081667327129545,"(0.7906125103943471, 0.8257209550315618)","(0.7651678452009901, 0.8511656202249188)",0.025
