,edge arrival time,edge wait time,edge service time,edge departure time,fog arrival time,fog wait time,fog service time,fog departure time,cloud arrival time,cloud wait time,cloud service time,cloud departure time
0,0.02,0.0,1.9674504794964107,1.9874504794964107,2.037450479496411,0.0,1.806756364385013,3.844206843881424,3.894206843881424,0.0,36.54118565145555,40.43539249533697
1,0.02,0.0,3.0645887200499473,3.0845887200499473,3.134588720049947,0.7096181238314769,18.998809605900504,22.843016449781928,22.89301644978193,0.0,66.47050873142119,89.36352518120312
2,0.02,0.0,4.528242782252359,4.548242782252359,4.598242782252359,93.59901158278299,18.66067405341201,116.85792841844736,116.90792841844736,0.0,0.7369364641163849,117.64486488256374
3,0.03,0.0,1.5314396046115133,1.5614396046115133,1.6114396046115134,0.0,37.019540657650815,38.63098026226233,38.680980262262324,0.0,82.05112112881743,120.73210139107975
4,0.03,3.0545887200499475,0.23742051330216482,3.3220092333521123,3.372009233352112,19.471007216429815,75.35423791525342,98.19725436503535,98.24725436503535,0.0,23.630330700302107,121.87758506533746
5,0.04,1.5214396046115133,2.597175301452194,4.158614906063708,4.2086149060637075,34.42236535619862,103.0711604936938,141.70214075595612,141.75214075595613,0.0,7.45930514271933,149.21144589867546
6,0.01,0.0,5.118293513789624,5.1282935137896235,5.178293513789623,111.67963490465773,51.324186975369926,168.1821153938173,168.2321153938173,0.0,29.52100138493683,197.75311677875413
7,0.060000000000000005,6.281058495940059,1.4732263654963804,7.814284861436439,7.864284861436439,172.3766915332125,50.72447929210729,230.96545568675623,231.01545568675624,0.0,36.723785193899275,267.73924088065553
8,0.05,4.108614906063708,1.6788684496443205,5.837483355708028,5.887483355708028,135.8146574002481,109.48940617014198,251.1915469260981,251.24154692609812,0.0,25.042406850832716,276.28395377693084
9,0.05,5.787483355708028,0.50357514023203,6.341058495940058,6.391058495940058,161.79105689787724,12.05886100083163,180.24097639464892,180.29097639464894,0.0,113.9752881655629,294.2662645602118
10,0.07,7.744284861436439,1.6075512405007386,9.421836101937178,9.471836101937178,241.71971082416093,32.92178952701977,284.1133364531179,284.1633364531179,0.0,18.671000875085582,302.83433732820345
11,0.03,1.9574504794964107,6.150428943075581,8.137879422571991,8.187879422571992,222.77757626418423,20.833051592014993,251.7985072787712,251.84850727877122,0.0,60.83874877915597,312.6872560579272
12,0.05,0.0,9.419544580219469,9.46954458021947,9.51954458021947,242.27896269855174,76.87605434569643,328.67456162446763,328.72456162446764,0.0,3.8374089936442917,332.56197061811196
13,0.060000000000000005,9.40954458021947,0.18285435678974915,9.652398937009218,9.70239893700922,274.4109375161087,28.997494534630157,313.11083098774805,313.16083098774806,0.0,114.44184312391809,427.60267411166615
14,0.02,4.528242782252359,10.673007119593393,15.221249901845752,15.271249901845753,326.5637170949086,131.61862069905183,473.45358769580616,473.5035876958062,0.0,15.71724196212588,489.22082965793203
15,0.04,15.181249901845753,1.451045201203407,16.67229510304916,16.72229510304916,460.01634516299697,27.55026372712108,504.2889039931672,504.3389039931672,0.0,74.11891122366892,578.4578152168361
16,0.07,9.582398937009218,6.150413977905784,15.802812914915002,15.852812914915003,457.6007747808912,41.954222295205284,515.4078099910115,515.4578099910115,0.0,67.96331806834843,583.42112805936
17,0.04,8.097879422571992,2.4241551614955408,10.562034584067533,10.612034584067533,302.4987964036805,163.62780927829803,476.7386402660461,476.7886402660461,0.0,115.47159523319385,592.26023549924
18,0.05,10.512034584067532,1.1673822641473373,11.72941684821487,11.77941684821487,316.8951447762528,13.160405372286721,341.83496699675436,341.8849669967544,0.0,253.95113247491298,595.8360994716674
19,0.03,5.098293513789623,13.743472406425632,18.871765920215253,18.921765920215254,485.36713807295195,12.376202699340338,516.6651066925075,516.7151066925074,61.74270852432869,49.32149793659414,627.7793131534303
20,0.05,11.679416848214869,8.801872165311691,20.53128901352656,20.58128901352656,510.41167821424153,17.823660003120118,548.8166272308882,548.8666272308882,78.9126859225421,5.943608373741347,633.7229215271716
21,0.05,3.2720092333521125,17.13798021192353,20.459989445275642,20.509989445275643,496.3753026008437,14.10767518164876,530.9929672277681,531.042967227768,61.217268271471994,46.08844866782522,638.3486841670652
22,0.04,16.63229510304916,6.140153724039152,22.81244882708831,22.86244882708831,510.5309484790123,42.152136333188196,575.5455336392888,575.5955336392888,62.753150527776484,23.121316334833644,661.4700005018989
23,0.09,9.331836101937178,17.596628419621766,27.018464521558943,27.068464521558944,548.4770691177299,12.758690331200455,588.3042239704893,588.3542239704892,73.11577653140967,13.334443776582377,674.8044442784812
24,0.04,19.515151522791,4.593951286597554,24.149102809388555,24.199102809388556,524.6175244214996,14.970669006217268,563.7872962371055,563.8372962371054,69.88562529006617,43.1092674041437,676.8321889313153
25,0.04,18.831765920215254,0.6833856025757452,19.555151522791,19.605151522791,495.8026584682205,17.985587315089113,533.3933973061006,533.4433973061006,62.39270216556679,130.27020326083817,726.1063027325056
26,0.07,24.079102809388555,1.7486050061802603,25.897707815568815,25.947707815568815,537.8395884215366,63.833346991284756,627.6206432283902,627.6706432283902,98.43565950411539,15.909699702568943,742.0160024350745
27,0.08,25.817707815568816,3.4310207541656235,29.32872856973444,29.37872856973444,558.9254954007548,6.543722566078114,594.8479465365674,594.8979465365674,79.90649774191388,78.8487096528651,753.6531539313463
28,0.09999999999999999,20.16777153737999,9.981486387602681,30.249257924982672,30.299257924982673,586.5574756460009,110.65185268592477,727.5085862569083,727.5585862569083,26.094567674438053,20.181051777065367,773.8342057084117
