,system time,CI system time,PI system time,edge time,CI edge time,PI edge time,fog time,CI fog time,PI fog time,cloud time,CI cloud time,PI cloud time,dropout,CI dropout,PI dropout,throughput,CI throughput,PI throughput,edge utilization,CI edge utilization,PI edge utilization,fog utilization,CI fog utilization,PI fog utilization,cloud utilization,CI cloud utilization,PI cloud utilization,arrival rate
0,2571.315044142785,"(2538.0490731393397, 2604.5810151462306)","(2489.8303893861234, 2652.799698899447)",137.0679128713235,"(120.39331336362135, 153.74251237902564)","(96.22365241218965, 177.91217333045734)",2325.8718063674196,"(2268.9801390214134, 2382.763473713426)","(2186.5162507535447, 2465.2273619812945)",108.27532490404265,"(71.71643254431518, 144.8342172637701)","(18.724693061375916, 197.82595674670938)",398.35604,"(398.10167662473134, 398.6104033752687)","(397.73297952133976, 398.97910047866026)",0.06543999999999998,"(0.06098979855612244, 0.06989020144387753)","(0.05453927720990304, 0.07634072279009693)",0.9992301936892636,"(0.9986317528734141, 0.9993257664408357)","(0.9981287700997491, 0.9998287492145007)",0.4978224011189335,"(0.49612030978253036, 0.4991207702424018)","(0.4939457414524253, 0.5012953385725069)",0.8215805109974074,"(0.7692853603738954, 0.9111385497987889)","(0.6664779888476641, 1.0139459213250204)",0.015
1,2480.921384252109,"(2425.277597272029, 2536.5651712321887)","(2344.622498794791, 2617.2202697094267)",125.52140078471496,"(115.31612825562661, 135.7266733138033)","(100.5236904024061, 150.51911116702382)",2271.4546726176914,"(2214.5126869773985, 2328.396658257984)","(2131.975862858087, 2410.9334823772956)",83.8453108497034,"(66.50889122113693, 101.18173047826986)","(41.37992879294491, 126.31069290646188)",198.56488000000002,"(198.42532581169712, 198.7044341883029)","(198.2230434471896, 198.90671655281042)",0.06531999999999999,"(0.0627384400482746, 0.06790155995172538)","(0.0589964953778688, 0.07164350462213118)",0.9988111692965308,"(0.9986723948399414, 0.9990851556857676)","(0.9983732485338177, 0.9993843019918913)",0.4970163532909034,"(0.4953005042742178, 0.4991715253761373)","(0.492495001583553, 0.5019770280668021)",0.8455349406900681,"(0.7388232260102926, 0.8646541045631119)","(0.647627942116439, 0.9558493884569654)",0.03
2,2541.764356396119,"(2506.166915997033, 2577.3617967952055)","(2454.568791269222, 2628.9599215230164)",134.44617140740542,"(122.78370755066635, 146.10863526414448)","(105.87908581474352, 163.0132570000673)",2325.167104121424,"(2278.832674347794, 2371.501533895054)","(2211.67139365321, 2438.662814589638)",82.05108086729005,"(58.66021678092625, 105.44194495365386)","(24.755399212906497, 139.3467625216736)",118.61148,"(118.5466326547921, 118.6763273452079)","(118.45263709306654, 118.77032290693346)",0.06412,"(0.06235893454420872, 0.06588106545579128)","(0.05980628822966947, 0.06843371177033052)",0.9988689978491512,"(0.9986789435673757, 0.9995336136304629)","(0.9980595258224215, 1.0001530313754172)",0.4953482845152483,"(0.4966331808095082, 0.4978022059660245)","(0.49578593582279523, 0.49864945095273744)",0.7993599923546045,"(0.7423522830596196, 0.8361242715699562)","(0.6743915153065622, 0.9040850393230137)",0.05
3,2547.6244591985583,"(2488.7207021292024, 2606.528216267914)","(2403.340310445779, 2691.9086079513377)",138.25283078835542,"(133.1108604490023, 143.39480112770855)","(125.65762718441462, 150.84803439229623)",2314.9826334004433,"(2250.7812402123777, 2379.184026588509)","(2157.7219793138865, 2472.243287487)",94.28899500975969,"(64.12753818618211, 124.45045183333727)","(20.408815893008722, 168.16917412651065)",598.52448,"(598.2489784580711, 598.799981541929)","(597.849641798924, 599.199318201076)",0.067,"(0.06463759054255705, 0.06936240945744296)","(0.06121330226573952, 0.0727866977342605)",0.9992532141792396,"(0.9988777817083144, 0.9992393290662568)","(0.9986157521148805, 0.9995013586596907)",0.4987541872812917,"(0.4951075002670583, 0.4992236683346055)","(0.49212432857031757, 0.5022068400313463)",0.7401120391178413,"(0.7613115851029376, 0.9014106251841391)","(0.6597755243172021, 1.0029466859698746)",0.01
4,2626.4624080741296,"(2555.270731384647, 2697.654084763612)","(2452.0791262517064, 2800.845689896553)",133.91935731773643,"(123.03030239201806, 144.8084122434548)","(107.24672896858664, 160.59198566688622)",2410.117703700037,"(2329.7119548548926, 2490.5234525451815)","(2213.164646643055, 2607.070760757019)",82.32534705635678,"(56.714757502353464, 107.93593661036009)","(19.592470637195646, 145.0582234755179)",148.70244,"(148.67966477127467, 148.72521522872532)","(148.6466523108478, 148.7582276891522)",0.06408,"(0.062036983252738986, 0.06612301674726101)","(0.059075651433249894, 0.06908434856675011)",0.9988116541402524,"(0.9984121400810275, 0.9992997179760961)","(0.9977688725536159, 0.9999429855035077)",0.4968473343983364,"(0.49316156000745764, 0.4982226610431511)","(0.48949355298824415, 0.5018906680623646)",0.9738458456370908,"(0.7276174777144294, 0.8368496533681101)","(0.648452018618479, 0.9160151124640605)",0.04
5,2576.005714103453,"(2514.53157668214, 2637.479851524766)","(2425.4254450435037, 2726.5859831634025)",134.52928738859435,"(125.80234724964947, 143.25622752753924)","(113.15273703236606, 155.90583774482263)",2338.610101868733,"(2266.4663655107906, 2410.7538382266757)","(2161.894759653899, 2515.325444083567)",102.76632484612466,"(59.160345373126745, 146.37230431912258)","(-4.046074596997556, 209.57872428924688)",238.59364,"(238.51933819373215, 238.66794180626783)","(238.41163848767667, 238.77564151232332)",0.06552,"(0.060986428438217055, 0.07005357156178293)","(0.05441506296123918, 0.0766249370387608)",0.9989950458308876,"(0.9987790672360688, 0.9992110244257064)","(0.9984660084782182, 0.999524083183557)",0.4971577121209426,"(0.4959535593292978, 0.49836186491258744)","(0.4942081522090649, 0.5001072720328203)",0.8360866657594024,"(0.7537448355632173, 0.9184284959555875)","(0.6343911972918528, 1.037782134226952)",0.025
