,system time,CI system time,PI system time,edge time,CI edge time,PI edge time,fog time,CI fog time,PI fog time,cloud time,CI cloud time,PI cloud time,dropout,CI dropout,PI dropout,throughput,CI throughput,PI throughput,arrival rate
0,2557.104541,"(2515.845306212536, 2598.363775919725)","(2456.0404684971677, 2658.168613635093)",136.3716366,"(129.76247167268033, 142.98080162463688)","(120.18255483163797, 152.56071846567926)",2336.017003,"(2285.0777840203086, 2386.956221898599)","(2211.2419086626314, 2460.792097256276)",84.61590146,"(72.87277696189888, 96.35902595413789)","(55.85123845654779, 113.38056445948898)",238.50808,"(238.33820005442868, 238.67795994557127)","(238.0919608158185, 238.92419918418145)",0.06588,"(0.06469995010752862, 0.0670600498924714)","(0.06298947989241893, 0.06877052010758108)",0.025
1,2508.950352,"(2437.911621050802, 2579.9890830102304)","(2334.9417091553723, 2682.95899490566)",138.0230481,"(126.76631778589537, 149.2797784869727)","(110.44980260551348, 165.5962936673546)",2267.257793,"(2169.2663096967112, 2365.249276457193)","(2027.228659656944, 2507.2869264969604)",103.5695108,"(55.70490254911693, 151.43411908514344)","(-13.674356177703174, 220.81337781196353)",598.52312,"(598.271230250287, 598.7750097497131)","(597.9061186417657, 599.1401213582344)",0.06436,"(0.0625591256606701, 0.0661608743393299)","(0.05994877677776997, 0.06877122322223003)",0.01
2,2511.762453,"(2456.960567923165, 2566.564338704468)","(2377.5257971642363, 2645.9991094633965)",127.1704626,"(118.1952561361919, 136.14566910746362)","(105.18578639590166, 149.15513884775385)",2287.304335,"(2222.047425809994, 2352.561243542069)","(2127.458205762936, 2447.150463589127)",97.18765602,"(66.39522764389403, 127.98008438801997)","(21.761918563203025, 172.61339346871097)",118.53224,"(118.44468243897488, 118.61979756102512)","(118.31776865236586, 118.74671134763415)",0.06416,"(0.061694419882549215, 0.06662558011745078)","(0.05812058679229417, 0.07019941320770583)",0.05
