,system time,CI system time,PI system time,edge time,CI edge time,PI edge time,fog time,CI fog time,PI fog time,cloud time,CI cloud time,PI cloud time,dropout,CI dropout,PI dropout,throughput,CI throughput,PI throughput,edge utilization,CI edge utilization,PI edge utilization,fog utilization,CI fog utilization,PI fog utilization,cloud utilization,CI cloud utilization,PI cloud utilization,arrival rate
0,2520.294947,"(2423.9479585340223, 2616.6419354869186)","(2284.2939869893617, 2756.295907031579)",137.8456677,"(123.9877670457811, 151.70356830005886)","(103.90088223023471, 171.79045311560523)",2279.89734,"(2198.6865760702713, 2361.1081036381975)","(2080.9724069618296, 2478.822272746639)",102.4519395,"(51.95834364683894, 152.94553531979182)","(-21.231605594373036, 226.13548456100378)",398.4812,"(398.31115782776817, 398.65124217223183)","(398.06468344327754, 398.89771655672246)",0.06308,"(0.058510482016921946, 0.06764951798307804)","(0.05188701257098704, 0.07427298742901296)",0.999442248,"(0.9988026696411524, 0.9993130187631242)","(0.998432796732384, 0.9996828916718925)",0.496304181,"(0.49542829407025657, 0.4990155750591668)","(0.4928284305713034, 0.5016154385581201)",0.886265257,"(0.7530218068028217, 0.8509593686128577)","(0.6820420611644014, 0.9219391142512781)",0.015
1,2557.103056,"(2485.1112840839173, 2629.0948273809668)","(2380.759949514592, 2733.446161950292)",135.1572027,"(127.47025391337928, 142.8441513878069)","(116.32810056548777, 153.9863047356984)",2332.035964,"(2277.7500654195587, 2386.321861998828)","(2199.063212670962, 2465.0087147474246)",89.80988937,"(55.59306810204998, 124.02671064326134)","(5.996136639661785, 173.62364210564954)",198.6324,"(198.5279549101109, 198.73684508988913)","(198.3765628236326, 198.88823717636743)",0.066,"(0.06284659575439934, 0.06915340424560067)","(0.05827576864555224, 0.07372423135444776)",0.998622485,"(0.9991270132098574, 0.9994198755611915)","(0.9989147627227043, 0.9996321260483446)",0.498689513,"(0.49453924927803294, 0.49847414165470283)","(0.4916874562085635, 0.5013259347241722)",0.852468789,"(0.7318478753302369, 0.8814856917242218)","(0.6233986353324602, 0.9899349317219984)",0.03
2,2522.496446,"(2476.3607322220173, 2568.6321603660313)","(2409.487487898666, 2635.5054046893824)",129.4516124,"(125.28438517128546, 133.6188397121262)","(119.2440319869648, 139.65919289644685)",2298.940833,"(2246.0416685762602, 2351.8399969941047)","(2169.364872653624, 2428.516792916741)",94.00400107,"(75.10000414988426, 112.90799798438829)","(47.698854520722655, 140.3091476135499)",118.50824,"(118.40339297481536, 118.61308702518464)","(118.25141828724891, 118.76506171275109)",0.0664,"(0.062161965799228704, 0.0706380342007713)","(0.056018978695646406, 0.0767810213043536)",0.998920044,"(0.9982859417039534, 0.9990881420545052)","(0.9977045511140622, 0.9996695326443964)",0.499282561,"(0.49703703588898357, 0.4992724733656721)","(0.49541691404243704, 0.5008925952122186)",0.818519014,"(0.7609435096751863, 0.9039305620276145)","(0.6573143768073633, 1.0075596948954375)",0.05
3,2574.112357,"(2471.076655338502, 2677.148058677398)","(2321.72746262817, 2826.4972513877296)",130.4227536,"(121.75856607309102, 139.08694115462714)","(109.1999151031979, 151.64559212452025)",2365.322872,"(2278.359139939991, 2452.2866037902104)","(2152.3061025203992, 2578.3396412098023)",78.26673153,"(61.935133624383724, 94.59832943359632)","(38.262649978397654, 118.27081307958238)",598.28832,"(598.0917029896123, 598.4849370103877)","(597.8067086497985, 598.7699313502015)",0.06348,"(0.06105081694734011, 0.0659091830526599)","(0.057529741029166866, 0.06943025897083316)",0.998745313,"(0.998877961238127, 0.9995747484707701)","(0.9983729682648177, 1.0000797414440794)",0.496548826,"(0.4950183989315889, 0.49939070758868137)","(0.49184959065622, 0.5025595158640502)",0.793420259,"(0.7289803935363801, 0.8251658766852263)","(0.6592704579219316, 0.8948758122996748)",0.01
4,2533.162996,"(2419.6778137842034, 2646.648178428753)","(2255.182206050187, 2811.1437861627696)",134.4040168,"(120.877301194396, 147.9307324926756)","(101.27046560742318, 167.53756807964842)",2297.330783,"(2167.7121983904963, 2426.9493673502257)","(1979.8313897128573, 2614.8301760278646)",101.3281964,"(61.03766799050521, 141.6187247946584)","(2.636960340380881, 200.01943244478272)",148.53168,"(148.3685489108452, 148.6948110891548)","(148.13209207038622, 148.93126792961377)",0.06764,"(0.06334783474315156, 0.07193216525684845)","(0.057126385229019395, 0.07815361477098061)",0.998952448,"(0.9983985371927926, 0.999569263496459)","(0.9975500593084071, 1.0004177413808444)",0.497467452,"(0.4953016859028328, 0.498402725257067)","(0.493054223534868, 0.5006501876250318)",0.78167833,"(0.8080082649780094, 0.8772560067650153)","(0.7578213192624277, 0.9274429524805969)",0.04
5,2646.669044,"(2592.5892903633917, 2700.7487974395576)","(2514.201242317698, 2779.1368454852513)",133.847049,"(127.41696981355754, 140.27712825151292)","(118.09663594036611, 149.59746212470435)",2419.572572,"(2351.3229026211825, 2487.8222417708207)","(2252.395706624141, 2586.749437767862)",93.14942267,"(78.26070988597431, 108.03813545990047)","(56.67967341802659, 129.61917192784819)",238.50244,"(238.39044798676403, 238.61443201323593)","(238.22811671230488, 238.77676328769508)",0.06596,"(0.062195856379223896, 0.06972414362077611)","(0.0567397688105462, 0.0751802311894538)",0.998936508,"(0.9986382528587043, 0.9992347622174016)","(0.9982059357602514, 0.9996670793158545)",0.497658507,"(0.49641519782270355, 0.49890181540419404)","(0.4946130344834062, 0.5007039787434914)",0.82647033,"(0.7854268608854664, 0.8675137984297105)","(0.725934773892034, 0.927005885423143)",0.025
